date,time,tweet,tweetid
2016-12-05T13:53:11Z,13:53:11,I am thrilled to nominate Dr. @RealBenCarson as our next Secretary of the US Dept. of Housing and Urban Development… https://t.co/OJKuDFhP3r,805772007220645000
2016-12-05T16:00:27Z,16:00:27,"If the press would cover me accurately &amp; honorably, I would have far less reason to ""tweet."" Sadly, I don't know if that will ever happen!",805804034309427000
2016-12-05T23:06:43Z,23:06:43,"#ThankYouTour2016 

12/6- North Carolina
https://t.co/79AHq3NC0v

12/8- Iowa
https://t.co/1IuRTVwMSx

12/9- Michiga… https://t.co/vcQaIJ8qoB",805911307270713000
2016-12-06T13:52:35Z,13:52:35,"Boeing is building a brand new 747 Air Force One for future presidents, but costs are out of control, more than $4 billion. Cancel order!",806134244384899000
2016-12-06T16:45:27Z,16:45:27,"Join me tonight in Fayetteville, North Carolina at 7pm! 
#ThankYouTour2016 
Tickets: https://t.co/79AHq3NC0v https://t.co/KoZCE7JeG7",806177746397306000
2016-12-06T19:09:49Z,19:09:49,"Masa (SoftBank) of Japan has agreed to invest $50 billion in the U.S. toward businesses and 50,000 new jobs....",806214078465245000
2016-12-06T19:10:27Z,19:10:27,Masa said he would never do this had we (Trump) not won the election!,806214236053667000
2016-12-06T21:17:45Z,21:17:45,"Departing New York with General James 'Mad Dog' Mattis for tonight's rally in Fayetteville, North Carolina! See you… https://t.co/Z8sgJBWI09",806246271405162000
2016-12-07T03:33:20Z,03:33:20,"A great night in Fayetteville, North Carolina. Thank you! #ICYMI watch here: https://t.co/ZAuTgxKPpb https://t.co/EF9xRWmciA",806340792247795000
2016-12-07T12:18:56Z,12:18:56,I will be interviewed on the @TODAYshow at 7:30. Enjoy!,806473064703725000
2016-12-07T18:38:00Z,18:38:00,"We pause today to remember the 2,403 American heroes who selflessly gave their lives at Pearl Harbor 75 years ago...
https://t.co/r5eRLR24Q3",806568460620857000
2016-12-07T19:37:32Z,19:37:32,"Join me tomorrow in Des Moines, Iowa with Vice President-Elect @mike_pence - at 7:00pm!
#ThankYouTour2016 #MAGA… https://t.co/Geq6sT70IT",806583438748815000
2016-12-08T00:41:48Z,00:41:48,"Chuck Jones, who is President of United Steelworkers 1999, has done a terrible job representing workers. No wonder companies flee country!",806660011904614000
2016-12-08T01:56:40Z,01:56:40,"If United Steelworkers 1999 was any good, they would have kept those jobs in Indiana. Spend more time working-less time talking. Reduce dues",806678853305384000
